"Source:","/Users/josch/Nextcloud/Devel/Apple ][/Apple PAL card - reloaded/Apple PAL card - reloaded.kicad_sch"
"Date:","2023 May 06, Saturday 13:11:53"
"Tool:","Eeschema 7.0.1-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","3","C1, C2, C21","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","",""
"2","6","C3, C4, C5, C6, C9, C17","100n","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"3","1","C7","27p","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"4","3","C8, C10, C13","47p","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"5","1","C11","1n","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"6","1","C12","470n","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"7","2","C14, C15","12p","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"8","2","C16, C18","100p","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"9","1","C19","6..35p gn.","Device:C_Trim","Apple:Trimmer","~","","",""
"10","1","C20","5..20p rd.","Device:C_Trim","Apple:Trimmer","~","","",""
"11","2","CR1, CR2","5v1","Diode:BZD27Cxx","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://www.vishay.com/docs/85153/bzd27series.pdf","","",""
"12","1","CR3","1N4148","Device:D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","~","","D","1=K 2=A"
"13","3","H1, H2, H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2mm","~","","",""
"14","2","H4, H5","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","",""
